,O=C(N1CCNCC1)c2ccc(C=Cc3[nH]nc4ccccc34)cc2,O=C(Nc1c[nH]c2ncc(cc12)c3ccc(cc3)C#N)c4cccnc4
TAOK1,8.36616024513e-05,0.000496361923749
TAOK2,1.82803890597e-05,0.000333871728517
TAOK3,0.319301693256,6.35494601145e-05
TBK1,0.0129672185953,7.89503999896e-05
TEC,5.8495172499e-05,4.77647925875e-05
TEK,4.81086597722e-06,0.000169213522601
TGFBR1,0.000703051953047,1.65094566789e-06
TGFBR2,1.71751838595e-05,4.9402593885e-05
TIE1,0.334333565053,8.97579460486e-06
TK1,3.71430995617e-06,1.76772201898e-06
TK2,2.01734150645e-05,1.94068719707e-06
TNIK,0.1998396201,0.13832536446
TNK1,0.396507924616,1.74230794396e-06
TNK2,1.42323739491e-05,4.80445478164e-05
TNNI3K,1.50750390635e-05,6.1430762075e-06
TSSK1B,1.16326746638e-05,2.24911766216e-05
TSSK2,3.57798353051e-05,1.35492964631e-05
TTK,0.00206735163195,0.000107551696019
TXK,0.285372774177,0.000252668594606
TYK2,0.000752911755635,4.30274421799e-06
TYRO3,0.000244100164636,9.81560245663e-06
ULK1,0.459094885538,5.29229084961e-07
ULK2,0.399096557955,3.21297405469e-06
ULK3,0.354010519509,1.14472281416e-06
WEE1,8.20915781305e-07,1.04766159381e-07
YES1,0.0476858104224,0.00116395307528
ZAK,0.0239923042357,0.000684293369834
ZAP70,0.0981437043519,7.75327583487e-06
